,AI.PA,AIR.PA,BN.PA,BNP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,KER.PA,MC.PA,OR.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STLA.PA,SU.PA,TTE.PA,VIV.PA
2018-09-27,0.0097388697932613,0.003864188813389208,0.003133148279506149,-0.0029330881532919754,-0.004653164622199042,0.0024301904972476177,-0.0027210782109842826,0.019570096194097296,0.011052244125784969,0.005541023540018232,0.012092045765028772,0.01718631008116436,0.009946752676154252,0.004537050956132528,0.0186357858311361,-0.005241587110512831,0.0,0.007726478426127084,0.010587809066075279,-0.0013324757107203106
2018-09-28,-0.0017636857575924311,-0.006633534686377651,-0.006426089868197212,-0.032844940308165545,-0.018616113863951116,-0.0046223763976934035,0.0023327951994121447,-0.01208829748429342,-0.004969196273998437,-0.009963292848478475,-0.0014433635123560064,0.003189773632376489,0.008447758700098645,-0.006606159960943777,-0.004561239428575875,0.001077465842349129,0.0,-0.012333450027702206,-0.003218316816687193,-0.01477528214083974
2018-10-01,0.0030844320553050837,-0.007236312982078071,0.020919147046402423,-0.013753748817935826,-0.003895272372636731,-0.00024383177142719506,0.005422143078901169,0.01014843266646696,0.014407262740742605,0.007522481239186864,0.002884646728745745,0.0,0.0007008136632616072,-0.002488557271525934,0.012719228794043124,-0.018202132352171205,0.0,-0.004628294058754814,0.00944662195848302,-0.0009025478004997199
2018-10-02,0.004827732164321416,-0.0161445331803984,-0.007072423239529947,-0.0001924042732305953,0.0025985884217661036,-0.009311536847373209,-0.0003863329838218019,-0.0058422756242284025,-0.01831355741851859,-0.021573460120539765,-0.003848023246954815,-0.0074587668853956695,-0.011980389452114427,-0.015906584972947512,-0.007898022612173611,-0.005773980590238441,0.0,-0.018730521333446205,-0.0030203126701107666,-0.01592754447121483
2018-10-03,0.008284347613038421,0.012973739059337023,0.0013299443157155392,0.003073376392532358,0.004961708702370415,0.0031953098299371784,-0.004259394777117824,-0.009024989903328378,0.005853701716795782,0.007958900815687566,0.0024067400305650593,0.010991091216785456,-0.012125661356152086,0.004210532536343458,0.005315317390597891,0.008375151831258245,0.0,0.004127458808598131,0.0017777511192416775,0.0109490910262459
2018-10-04,-0.017963232051256297,-0.016955901940710446,-0.021946110424342965,0.0030639596837828504,0.018759818041041303,-0.0066478260160527354,-0.00935678427868169,-0.01829800780582898,-0.05510060578518047,-0.05012048608763609,-0.03622517374718401,-0.026801675137250357,-0.031714019289423676,-0.025102334094161557,-0.012883227149044359,-0.013073838406014683,0.0,-0.007085995770678996,-0.004093616901505041,-0.004091851544824597
2018-10-05,-0.011560891685761621,-0.012042601079058354,-0.011690661096850252,-0.008641451236304455,0.0014772546171501898,-0.0014833469960548011,-0.037107799703808515,-0.011710245415493988,-0.020072150984623567,-0.0060959865711151025,0.003980044024887554,-0.0021755124493168508,-0.009302392662313561,0.002151926747644424,-0.004200028494525173,-0.0188778047511149,0.0,-0.019749290773718824,-0.01690685271674233,-0.0013677087188634456
2018-10-08,-0.001342533290899415,-0.0036605112484383094,-0.00045835804088918225,-0.013592383017730535,-0.008470989176272363,-0.007948370414084414,-0.029286522655910557,-0.007337999030939299,-0.02095918876004632,-0.015315873591675544,-0.01098362014859296,-0.013153299402192894,-0.01127831503770719,-0.019974637370516808,-0.006598071021274511,-0.0063725622700872234,0.0,-0.011244577502721684,-0.019784522006296143,-0.013780614531860504
2018-10-09,0.007584212783937168,-0.010867589314471501,0.002898811194828011,0.0015627667865601496,0.0,-0.008263425530804653,0.0029257992472848967,0.0008180458821483568,0.0040374872021314324,0.013567315780697269,0.002006064625670356,0.01351623209501011,0.006406700519272458,-0.018146132609739258,0.0007940386935505816,-0.022266280803109977,0.0,0.0,0.014327992841302647,0.00046235013693941
2018-10-10,-0.032523168647834035,-0.034843985227012444,-0.004733880042984389,0.004673848365802056,-0.0027686327626063392,-0.008078804098588858,-0.04962523253845292,-0.03621628766580861,-0.10118186981428408,-0.07408113683195891,-0.042472502057158704,-0.041487476392656375,-0.05204494950008196,-0.02349858261606178,0.013795174841651983,-0.011836151732562996,0.0,-0.042772269795075396,0.004912165654885004,-0.006028266031839716
2018-10-11,-0.021815643468771746,-0.01691152810019834,-0.02166263732820769,-0.02518336107645518,-0.03582273173551978,-0.01712944829442722,-0.007042276122147227,-0.023157098103608224,-0.023886486758760952,-0.01270752267667004,-0.019530823292084762,-0.016012471900693697,-0.013947227650465662,-0.026408748019214636,-0.016046658146621998,-0.021094040825218936,0.0,-0.014134528039519924,-0.03490335706361491,-0.002328254191318854
2018-10-12,-0.013702102053978718,0.029659547891011877,-0.00093898870200015,-0.005494199174880502,-0.006653452150447044,-0.006727019523142086,0.006603657053929012,-0.0017368388698917564,0.019681551296390973,0.002097389576835121,-0.01937631149786964,0.0046011648483521095,-0.012924238734716046,0.021366377321606584,-0.021984791928752804,0.0013501815799364756,0.0,0.0009701111984904704,-0.005276039766806648,0.0
2018-10-15,0.001901159358087449,-0.024740036800564465,0.007953232358394855,-0.00834890755547152,0.004883499703772834,0.001297165494161826,-0.019495545302345197,-0.005228823272841393,-0.023449031347318627,-0.007840130971478175,0.0,-0.010382641462755618,-0.009188426054406255,-0.012020514903368959,0.0202596603986905,-0.001650546040441782,0.0,0.007406233820924554,0.011645491010977544,0.0018630190615003537
2018-10-16,0.01974673403828089,0.03919715621283998,0.010199496107305951,0.004434621619416531,-0.002882828697816645,0.020275323383073442,0.03947879390579081,0.01903999181424491,0.029226310209912284,0.014484673690146718,0.012422536379436399,0.009999989431995423,0.023716551070503286,0.04056146821703867,0.014766289564526457,0.016827214163029767,0.0,0.011166183285719384,0.00502935698193302,0.02300009415442039
2018-10-17,-0.006539043100890903,-0.008490529854487217,-0.04432596822729425,-0.0024164882268675847,0.0,-0.003563235798246266,0.0,-0.008609609676883772,-0.009471278878637874,-0.00037852424627129566,0.007752996655822238,-0.0057570685597936,0.00020025154986806878,-0.018026626539855515,0.010415344876528095,-0.009048502025733646,0.0,-0.0012698705048477083,-0.0067114460431472395,-0.006386855158051086
